time,0,1,2,3,4,5,6,7,8,9
0,5.166201,4.7966585,4.7795715,5.3073153,5.811677,5.9589233,5.518685,4.9659853,5.169791,5.537987
1,2.8331892,3.3732088,2.8375905,2.2689219,2.8599222,2.7539048,2.7248194,4.0494113,3.536807,3.794568
2,4.2137585,4.627912,3.8495343,3.060916,3.8133316,3.75871,3.9390254,3.901164,3.3912299,3.8659632
3,7.5359087,6.011502,6.044907,5.0519176,6.2906446,5.8787723,4.8205247,6.197815,6.2928305,4.8540835
4,0.9110795,2.236954,3.480457,0.47012168,1.7124557,1.303081,1.7530079,0.92985857,2.2743607,1.3562042
5,1.7754678,0.6592904,0.17659551,0.03533363,0.09704617,0.060739096,0.4412467,0.16468869,0.46721637,0.07932394
6,0.106528044,0.73611027,0.44231313,0.10791494,0.16326222,0.24935539,0.113003306,0.2229167,0.32646453,0.055225413
7,0.29357007,0.026399337,0.12959279,0.09155345,0.23325375,0.087699465,0.24640861,0.03639686,0.07758975,0.0527276
8,0.32726413,0.016455395,0.059269443,0.020889534,0.5828865,0.11068232,0.26635835,0.5718435,0.38822365,0.103220634
9,0.8801227,2.2776697,1.2271345,0.79963684,1.7595977,0.3576097,0.6131874,1.8766983,1.2835603,0.5538713
10,5.0482764,9.448652,2.083101,6.754583,1.3310183,5.8576245,4.053541,1.4359653,5.5510197,3.4482927
11,3.1735768,6.4250956,5.45139,4.2173347,5.4994397,6.3912916,8.417917,5.1219106,3.4503813,3.995944
12,5.5330615,5.7046075,5.20347,5.458089,5.709374,5.9642234,4.150747,5.1378775,5.532405,6.1009665
13,2.8833354,3.6601002,4.5583286,3.554474,2.2596827,2.0908506,3.0831554,4.3863163,2.4459188,2.6393526
14,4.8198233,3.4368815,2.9331806,4.7976174,3.690994,3.674307,3.655141,3.1270437,3.347816,3.664764
15,6.225345,5.7064457,5.0734653,4.671517,8.358552,6.565762,6.2448015,4.058089,5.6353655,5.052327
16,0.42645967,1.2466596,0.42813677,0.71260226,2.4121225,2.5643563,1.7803198,2.3787947,3.5475817,2.1117322
17,0.63281834,1.097538,0.8429016,0.17131366,0.39429027,0.05211428,0.038370363,0.48821303,0.2018591,0.13577475
18,0.0918706,0.1251906,0.31199044,0.09369515,0.3462633,0.08548074,0.09317596,0.3938665,0.09920548,0.26972234
19,0.41058394,0.07155677,0.12460046,0.0752704,0.4019999,0.17615499,0.5638125,0.41828835,0.3236127,0.6682589
20,0.10996319,0.6577461,1.1257637,1.0719981,0.044820607,0.17318219,0.9154035,0.09574374,0.73150706,0.2992468
21,0.5954741,2.5808818,1.041541,0.2699466,1.878832,3.497362,0.69267666,0.6691547,0.4946671,3.9862876
22,1.7350966,1.9676775,2.850407,2.7177985,4.46718,4.754872,2.4973261,1.9757978,3.7859728,5.786413
23,5.3903646,7.4524097,2.916275,4.8355765,3.4962454,2.1553447,5.0589633,5.9518094,2.6115973,3.3654063
24,4.469868,4.394865,5.330297,4.576185,3.861847,5.5950975,6.23805,4.933588,5.4514494,6.7439237
25,5.290316,5.8121862,3.9913194,4.416832,4.030285,4.207878,3.8677995,2.7601073,2.654387,4.2079477
26,4.2484317,5.470668,3.6527023,3.9439158,3.697276,3.5894396,4.4780464,3.7573385,5.5112834,4.47365
27,3.4106686,4.1576924,6.487527,6.249412,6.3893247,4.6001124,5.486354,5.0664396,3.6708815,5.830016
28,3.1912432,3.8087683,2.5410643,3.7370646,2.6903827,2.2001235,1.9797692,1.4435788,4.703456,4.060663
29,0.35697836,2.292226,0.1613873,1.5505993,0.64328897,1.5821018,0.6697624,0.2527044,0.27655575,0.34239116
30,0.24461362,0.1713081,0.23705882,0.107611194,0.08876936,0.09367657,0.38601428,0.13104588,0.19411054,0.098428205
31,0.07766592,0.10067516,0.084703445,0.072198,0.07285262,0.07942613,0.09131487,0.12529305,0.06437603,0.056605246
32,0.64166075,1.6206679,0.10714721,0.2093752,0.059809327,0.08623245,0.47092834,0.034784235,0.33433437,0.06894351
33,2.364814,1.1188738,3.2396245,0.7787326,0.09905085,0.7755512,0.68413615,1.3084219,1.3443106,2.3937037
34,1.3283536,2.1897066,2.9855955,2.1483402,2.3918314,6.465576,3.3964474,4.8923926,2.829699,1.762088
35,2.6636736,4.211449,3.7466197,3.9028533,5.5852456,4.6333933,3.8624501,3.17989,2.9235647,2.6783957
36,4.6566777,6.0716534,5.516464,6.092967,6.238925,5.8385897,6.123879,7.1152062,4.277173,6.410504
37,3.9725878,2.9738595,3.2776015,3.550841,2.3719652,2.873436,2.5069957,3.1265988,3.2661057,3.520504
38,4.2355757,2.8753943,3.7226732,3.3372552,3.310761,3.6152768,5.738972,3.368805,3.72718,3.7794032
39,7.013023,5.4310856,5.9707108,5.866756,5.8888702,4.1360135,6.9461308,4.709644,6.5224304,5.8539877
40,1.029236,1.2665435,2.8069715,1.9255608,1.7786275,3.3354146,3.2947168,0.91020966,2.702485,1.2142028
41,1.9532657,0.27825263,0.19297156,0.15255976,0.477027,1.2891585,1.2790128,0.12614009,0.082683295,0.3423731
42,0.29130542,0.43312675,0.18744673,0.064262465,0.187576,0.34660786,0.25967172,0.229577,0.13301411,0.2878137
43,0.110932775,0.04086187,0.0578179,0.10106529,0.14370531,0.1220829,0.13162228,0.1410229,0.24607044,0.033560637
44,0.28695887,1.4191979,0.04481805,0.2538636,0.41871035,0.20748454,1.1595929,0.1729269,0.6023745,0.027482092
45,0.8008849,1.21433,1.5546839,1.3731573,1.9407958,1.636477,0.56089056,0.46726358,3.0762975,2.3918495
46,1.4817325,3.4934936,4.8805346,5.5385065,1.5162085,4.0906253,3.11443,5.2380695,4.4632115,4.9242935
47,2.3939006,9.865093,2.612431,8.274783,6.42347,1.5951195,3.1575992,4.4097857,8.067229,3.433467
48,7.561861,5.187739,5.2923284,5.746798,5.548848,5.267905,6.599182,6.884152,6.1439915,4.8821774
49,2.8648846,3.833998,4.234886,3.1378975,3.499953,2.5497653,2.4578154,3.2999902,3.3547463,3.3293092
50,4.1610694,4.006552,3.3035262,3.4354935,4.3198347,3.362,4.1875186,4.43066,2.8242955,3.1685972
51,5.847862,6.4481516,5.068561,6.6476283,5.6817446,5.3514504,5.135256,4.863629,6.093021,6.882985
52,0.4622501,0.5011279,2.5128922,3.571719,2.5847473,2.395922,4.2115717,2.0323539,2.0514045,1.7527034
53,0.26331648,0.2345709,0.31519774,0.41710144,0.5992341,1.0635564,0.14999753,0.14511743,0.8846829,0.8568539
54,0.16916169,0.062085334,0.12743309,0.08621537,0.20283017,0.11261596,0.08095375,0.14292553,0.090703264,0.049860153
55,0.05288512,0.04748454,0.04527112,0.52376324,0.066658705,0.15041772,0.069333635,0.21599814,0.07366426,0.06359322
56,0.088196166,0.05292152,0.25101957,0.05237951,0.4458176,0.015228348,0.7671268,0.2010887,0.07318247,0.31575188
57,0.8205893,1.4129435,0.18875267,4.32622,0.82315606,1.4614854,4.367483,1.3748308,4.9651437,1.5008703
58,1.4506675,0.8469425,1.6561849,2.837931,2.285704,4.586593,3.4648607,3.4668784,3.4603255,1.7127023
59,4.1967354,3.467775,2.0802844,4.306571,3.8925488,2.343048,5.947342,4.6987634,7.1725283,2.2979307
60,5.2480187,6.020813,5.3206472,4.860345,5.385815,5.2088766,7.112559,5.2597384,6.298597,5.9745708
61,3.5860395,2.6174953,3.5131197,3.2838228,3.1095576,2.1703913,2.384009,3.7287467,3.1349168,3.4372876
62,3.8737082,4.4907575,3.9041965,4.1597056,4.327457,4.9771805,3.6543996,3.81122,3.301472,3.6861796
63,5.6527805,6.7689767,5.9481125,4.817719,7.908791,4.3834834,5.801786,6.624751,7.0018954,6.858173
64,1.3980787,3.7093263,2.8749418,2.1514783,1.217517,2.4451635,2.232522,0.7489942,0.2631229,1.7269249
65,1.5309236,0.28341407,0.25813887,0.74897826,0.5564166,1.3140825,0.09788757,0.2451717,0.18864988,0.032625593
66,0.10402657,0.086282164,0.09430676,0.13290262,0.22603402,0.12463069,0.21963112,0.14652087,0.128127,0.47319847
67,0.12090914,0.077662595,0.12318205,0.11719612,0.21898025,0.11141586,0.49830928,0.39107677,0.24532035,0.08312313
68,0.29758832,0.9274571,0.1284578,0.689442,1.3505704,0.073213786,0.40631548,0.34285328,0.17412639,0.5731181
69,0.29271278,2.8159916,0.097662486,3.2194605,3.3165998,1.2344533,0.7685567,0.23981573,1.1600136,1.7428195
70,3.6985812,4.3286276,2.8873057,2.393656,3.9768715,0.9261518,0.900013,0.52399784,1.9422003,3.7981508
71,3.2220256,8.496368,2.9983127,2.489726,2.4639258,5.127779,4.562933,4.4981246,1.8536264,2.2155995
72,6.561439,5.6690674,6.676194,3.9876294,4.9062805,4.8858356,4.8858356,6.8436174,7.9427876,5.9028215
73,4.035103,4.6967754,3.3433416,3.6098268,3.2538877,3.460359,2.8895612,4.229513,4.8060217,3.419323
74,4.476637,4.5099926,3.7985775,3.771772,4.1467967,2.893543,4.3236737,5.2163687,3.6513464,3.6938455
75,6.4603086,6.784505,6.6371937,5.355463,6.6934485,6.401702,5.3098683,5.546964,6.2845225,6.3142314
76,3.0815086,3.5640817,2.8920736,1.918289,2.56933,1.7782003,1.5276917,1.1604958,2.3717294,2.8669302
77,0.24097347,0.27077353,0.085681036,0.21787225,0.76942337,0.7124421,0.619521,0.12529837,1.1637818,1.5639554
78,0.11886021,0.111160144,0.38056093,0.11887813,0.13378271,0.06934194,0.0723821,0.08979245,0.06995489,0.118451715
79,0.51591617,0.054116897,0.1458845,0.08458238,0.041625593,0.3361332,0.08463084,0.09026445,0.12468319,0.05829466
80,0.10362925,0.7892059,0.04593798,0.047490712,0.1525283,0.007887106,0.47020248,0.6322934,0.23792098,0.5235496
81,0.23117504,2.0824716,0.6765593,1.2500327,0.75436985,0.82878274,0.142486,2.2025416,0.3086487,0.9950666
82,6.2541146,0.80389476,2.7564604,7.1882277,6.558608,1.9431973,8.541994,3.8600245,3.8831182,8.155728
83,7.1637964,3.2619023,4.7064543,6.3871813,7.5929356,4.4691405,4.1717176,7.5055203,6.412058,5.772413
84,4.756683,5.9724493,6.0765033,4.529658,5.4309897,5.2410564,7.2109632,4.1235495,4.3838305,5.5288568
85,2.8417609,2.8332953,3.2890284,3.549435,3.3677711,3.109858,3.1472268,3.7995007,2.728738,3.4998133
86,3.8306513,3.4889874,4.2292347,3.7428088,5.0327387,3.1892314,4.51522,3.789765,3.6621435,4.0277743
87,6.300452,5.8005276,5.404893,7.2864356,4.970398,5.2507763,4.574895,5.89168,7.1452274,7.592461
88,4.555572,1.8928645,0.6019104,2.9848483,2.97155,1.9939309,2.7668815,1.1591653,2.7669084,1.1892984
89,0.7011607,0.23654321,0.66098154,0.44330308,0.24653809,0.7624454,0.7888458,0.32420003,0.38560003,0.060903132
90,0.086215384,0.1688843,0.2139221,0.14523038,0.09832938,0.25906947,0.115283325,0.122247815,0.6146332,0.17657529
91,0.07276074,0.059909906,0.053347386,0.14270781,0.044168983,0.049781058,0.108467564,0.14899473,0.12665482,0.379407
92,0.27660173,0.28727424,0.036005467,0.58660513,2.062255,0.05667967,1.1659493,0.09452022,0.28313002,0.19837207
93,1.6010598,1.3826479,2.4863195,1.1303908,0.44088492,0.13517095,1.1343566,0.4126283,0.40549123,1.1230376
94,5.7074847,1.7328207,3.9854841,0.20753619,3.3969073,2.2947803,1.5079842,3.500285,4.0162954,1.4295737
95,3.878901,3.2595701,5.268195,3.430377,5.0019255,2.5089087,6.3615723,5.0352335,5.3638325,2.589825
96,5.378446,5.864326,5.508773,7.0207014,6.6579685,4.677172,5.6856256,6.200764,6.222822,4.4970913
97,3.8017042,2.5086622,2.2512102,2.6915457,2.5721858,2.7027957,3.0171027,3.3096673,2.556774,3.0803325
98,4.4030104,3.3387904,3.1867692,4.4225416,3.5492706,3.7645762,2.862699,3.8358676,3.2020352,3.514257
99,7.020172,6.2823215,6.145324,5.2786875,6.100215,5.1874185,4.8520045,6.8576717,5.982059,8.917726
100,2.4334235,2.4547014,0.881875,0.42444795,1.2496641,1.6156058,0.96458685,0.78261095,2.14642,5.938073
101,0.38858223,0.73669714,0.14614116,0.07818644,0.8385009,0.2008751,0.68636584,0.49328282,1.0404048,0.71187264
102,0.15610303,0.24754477,0.39762563,0.37943253,0.15505777,0.23411648,0.11437614,0.13299641,0.21005872,0.24348798
103,0.04740193,0.117806785,0.10811441,0.06403826,0.22161795,0.31269667,0.08891626,0.08006302,0.116116196,0.044721153
104,0.10025787,0.3519219,0.3587459,0.13565117,0.06146628,0.061516166,0.4246818,1.1293797,0.40544012,0.36561045
105,1.6145046,1.3770763,1.8434359,1.4298013,1.1306983,0.88536483,2.543632,2.1030793,0.7175852,1.276107
106,4.5497084,7.599141,4.3535824,2.742488,3.9635267,1.8961838,2.684879,6.2217264,2.6745756,1.9400086
107,8.094433,4.5175586,8.04632,2.778717,3.0883608,7.9299364,4.0865474,2.8668072,8.470994,4.176133
108,4.394753,5.3465962,4.531306,5.18916,4.6223063,5.1784678,4.215294,5.048882,5.3525767,5.7105465
109,2.5361066,4.2927914,3.8376741,4.139305,3.0627825,3.8128781,4.0030093,3.842167,4.1203713,3.6712308
110,3.915816,4.316727,3.4873335,4.622253,3.0615616,3.08968,4.2947445,4.2859454,3.0387683,4.2379775
111,5.030615,7.323397,5.908392,5.484691,5.921296,5.8663135,4.8807383,6.827861,6.3565807,7.888311
112,6.548969,5.265523,5.48926,3.4525874,3.6971788,1.9642766,1.2190487,2.910212,2.000436,5.107568
113,0.16113427,0.28975818,0.18402547,0.3902753,1.9467021,0.6419421,0.16966581,1.387521,0.47742015,0.30967316
114,0.20988187,0.51752156,0.09488352,0.102260746,0.17153403,0.12414637,0.2560266,0.43738842,0.0920661,0.10903364
115,0.016571518,0.0714749,0.042019922,0.05302879,0.07502766,0.10174186,0.021322586,0.020121476,0.05873756,0.08016018
116,0.04761595,0.044496138,0.009020919,0.62258124,0.024703754,0.13077044,0.0068356795,0.036235474,0.25571415,0.03891723
117,1.0375774,0.15428331,1.9915364,0.6968226,0.14383742,2.755931,0.38355812,4.2343254,1.4973639,0.39788634
118,2.7007153,0.35567585,2.2232585,1.7937572,1.1663148,4.072344,5.4895697,3.160563,5.0424705,1.7293153
119,3.0336432,7.8232164,5.511288,6.742536,4.8660564,6.324425,4.2457666,5.6689663,5.1946836,5.368288
120,5.1451316,5.6166773,4.626926,5.801495,6.0145383,4.3986745,5.9022937,5.9416347,4.902085,4.9373446
121,3.5374005,2.5746114,2.244988,2.8542023,2.4723315,2.536346,4.270791,2.804543,2.3971293,3.203135
122,3.415597,3.3870823,4.701357,3.3026543,3.2232149,2.748652,3.415311,3.781195,4.4975953,3.4995346
123,4.9530487,5.155277,5.484093,5.43849,4.985479,5.8046393,5.0554843,7.1074314,6.3166127,7.488438
124,2.3470523,3.063432,3.4701777,0.66108805,0.95454216,1.6104347,0.95958036,0.8031655,1.4489156,1.6762129
125,0.15631837,0.81136173,0.039116547,1.0421903,0.3633453,0.13144471,0.46581978,0.16821443,0.8186675,0.13757166
126,0.27040058,0.10216729,0.37255076,0.102423385,0.28841665,0.08565461,0.1452615,0.08065303,0.12447105,0.25976327
127,0.14119603,0.16436209,0.11450586,0.19807032,0.16043662,0.085491985,0.027811289,0.08792527,0.28913748,0.11076195
