time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,3.3500457,3.2536244,2.4053366,5.648556,5.935379,2.849715,6.5688195,3.5548096,5.5049367,3.0521111,2.533628,4.0765014,4.578774,3.39282,3.724224,4.7054977,4.410751,2.1072462,3.8209462,3.6429439,4.5896053,5.414798,5.0428934,5.213731,,,,
1,6.8772116,5.1587653,5.894744,6.5906687,4.735395,4.4122043,5.5385,6.8216543,5.1934915,7.1939316,3.7835722,6.829494,6.893328,3.7880375,5.944019,5.877121,6.4130607,6.6063285,3.9843485,4.9031267,5.2209272,3.4489176,7.0971165,6.333483,,,,
2,4.275668,5.950281,6.8814793,7.223403,5.5193186,6.3209176,5.6728663,6.873878,5.0380025,5.0590005,6.515733,4.550164,5.007648,5.194644,5.6016483,6.4211087,5.3325,5.0354896,5.1543307,5.1863885,4.7657075,5.8453856,4.660626,4.182539,,,,
3,1.4444169,1.626293,1.0989207,1.8957843,2.069093,1.2630912,0.8756827,2.4590666,1.2564346,3.0481439,3.2356591,2.914359,1.3945501,0.9805569,2.376841,2.625511,1.708591,2.4485364,1.5064857,2.641358,2.0889277,2.7717578,1.5132669,3.9617827,,,,
4,1.4621018,0.93387806,0.8643218,0.43749347,0.43957037,2.3314915,0.5023454,1.5475985,0.5585573,0.34779117,0.6220903,0.39067963,0.9474819,2.598563,2.0657804,0.85237956,1.1964322,0.71005833,0.62804073,0.30869308,1.163596,2.2942834,0.5594504,1.8424281,,,,
5,0.09530999,0.20321654,0.57972115,0.488565,0.8357123,0.14279884,1.0739665,1.654103,0.42525,0.50375766,1.0542668,0.004112308,1.498666,0.47593734,0.7378684,0.27985498,0.5477572,0.96219695,0.053158842,0.7491669,1.0221264,0.027425768,0.539408,0.7641,,,,
6,0.074135765,0.28568074,1.1038326,0.713475,0.5643311,0.39403385,0.5228446,0.2645896,0.6155481,0.70037997,0.045931153,0.1542427,0.76180494,0.2840192,0.39265266,0.6420807,0.14930998,0.7069534,0.12803192,0.41516656,0.2774769,0.70042145,0.44296613,0.23053847,,,,
7,0.28311574,0.022005,0.94995344,0.76308227,0.09365884,0.17732769,0.3689342,0.36083424,0.07228731,0.37211192,0.8693688,0.6845538,0.5034773,0.84417564,0.5537492,0.6693611,0.032680385,0.45086882,0.4356138,0.1092773,1.1543539,0.20457691,0.07362692,0.3684565,,,,
8,1.1169171,1.1510825,0.35879886,0.90549684,1.5649927,0.42932078,1.4545625,0.040769998,1.1060965,0.7733215,0.86234885,0.14397229,1.1341661,0.9756553,0.5945192,0.17844923,0.4954708,0.34739652,0.20473269,0.27576345,0.92959964,0.65327543,0.73725575,1.6611023,,,,
9,1.0127285,0.7148354,1.1035004,0.7862504,1.7849076,0.51653075,0.8954861,1.2817315,1.1777608,1.3490549,1.1174781,0.73642504,0.7436319,1.1176442,0.48178384,1.1944177,0.6947203,0.3307811,0.98218733,0.40635,1.5880154,0.48261458,2.3736842,1.2611907,,,,
10,1.8816508,2.424922,1.8644227,3.743664,0.9718443,2.1158862,1.4489133,1.2443261,1.7877426,1.640821,0.9921254,0.7075765,1.8657311,3.8240826,1.6694412,3.4211698,1.5040557,0.6670972,2.1587434,1.3652343,1.8488975,1.664716,3.0771174,2.2962875,1.666118,2.01015,1.9445399,0.60053194
11,4.918112,2.3664773,3.6295266,2.7769291,3.531662,2.1020954,2.893268,3.8583624,1.5482007,3.1253955,1.7792274,3.1983886,3.1441293,1.4174378,3.2980294,1.5199026,2.3791776,1.9941057,1.9223894,5.0319586,1.6354002,1.7964242,2.364089,5.2189436,,,,
12,2.9801042,3.6885736,2.7812593,4.890302,3.6449685,3.279825,3.5342371,3.1882844,3.6592062,4.6447687,5.329862,4.742176,3.2032177,3.5683615,3.8658285,4.2641416,5.2018304,2.9817762,2.7309458,4.215437,2.6946728,4.085609,2.6891272,6.0774508,,,,
13,5.551418,6.4695425,4.0492105,6.169105,7.567777,7.7256036,5.284731,4.773434,6.8408966,7.57837,6.833503,5.8667364,4.624134,5.716575,4.069315,5.820037,5.052157,7.4586763,3.8974288,5.1039133,4.940771,6.227227,5.89761,2.3140452,,,,
14,5.9895654,6.137173,5.31062,5.7920294,4.331392,5.4946036,5.1801267,7.1864963,5.2133155,6.4569454,4.3463664,5.76855,4.3302493,4.569667,5.756182,4.325026,5.0642653,7.6410313,2.5841906,4.6216526,5.730273,5.778623,5.4263043,4.088236,,,,
15,2.1798449,3.1639533,2.6183355,3.24162,3.2615168,3.591976,2.2571585,3.5848312,2.2638981,3.7327914,2.7056386,2.011178,2.9027493,1.1952899,5.378296,1.6098335,2.6025507,2.3599973,1.4910126,2.531489,4.3497515,1.6919237,1.2816379,2.0887926,,,,
16,1.9798476,1.837111,0.87415606,1.4613853,0.46814883,0.35887152,0.7158946,0.8313612,0.5130934,0.87005424,0.9899861,0.70615387,1.2059238,1.3289607,0.9196408,1.5793959,0.5879042,0.71101385,0.8011211,0.5288365,0.5744457,0.34451997,0.7847965,1.2493211,,,,
17,1.1703668,1.4002198,0.4878796,1.3412457,0.7194461,0.8884661,0.53427804,0.42034847,0.40244538,0.370305,0.6856338,0.53221154,0.09427153,0.16832422,0.031538077,0.11459423,0.7157389,0.45786807,0.9569631,0.16330847,0.75143075,0.032888077,0.030572305,0.19061998,,,,
18,0.20375654,0.3182781,0.46812806,0.3848538,0.0748523,0.034798842,0.05606653,1.081433,0.053823464,0.6094627,0.18618576,1.0742053,0.09738692,0.37995228,0.47050613,0.70659,0.65421,0.40893576,0.15236308,0.4023415,0.62127006,0.018110769,0.32497615,0.64489496,,,,
