time,0,1,2,3,4,5,6,7,8,9
0,6.474823,5.3286414,7.2881494,4.9493494,4.4826565,6.1728134,4.3872957,5.344007,4.982719,10.836951
1,8.576758,9.899477,9.328358,11.557821,6.60201,7.8350863,5.939824,8.532835,9.175777,8.842102
2,12.117965,6.4352927,11.043575,6.822611,9.335151,6.6454763,7.3522105,18.92007,14.318315,9.501067
3,13.053944,11.493284,10.328213,7.719034,8.653218,8.462239,15.258738,10.047153,9.735446,7.9564724
4,3.2343066,8.966379,3.7991538,3.5854785,2.6985319,7.6052194,6.389976,4.6656146,2.4146907,3.0849988
5,3.1975937,2.7056851,0.7886109,1.2066205,2.2756894,1.0036095,0.82751584,1.3126487,1.6857065,0.33874992
6,0.41743502,0.14347944,0.3435304,0.3294603,0.3022213,0.30285373,0.35921425,0.017941019,0.22023672,0.345232
7,0.14908776,0.276506,0.08317733,0.07752017,0.14885229,0.04486644,0.060858306,0.0379609,0.0066181663,0.052803956
8,0.0821284,0.052154012,0.16512665,0.100657314,0.22788785,0.042607274,0.26199582,0.00080094126,0.035914283,0.039439246
9,0.45337957,0.15607111,0.40097716,0.32543066,0.1692032,0.4982238,0.25575897,0.69722855,0.33009255,0.38466865
10,2.8025675,2.947535,2.4047282,3.5025494,2.7479773,3.702152,2.3493571,3.7939909,4.319956,1.5566202
11,5.9244843,5.7932315,4.201298,4.2809706,6.0215473,5.6440754,3.840315,4.6447477,8.862646,5.645559
12,9.707308,8.739393,4.7361965,7.7613583,8.418976,8.070677,7.2478085,5.3399515,5.75826,5.7477818
13,5.782863,6.997131,6.082285,7.3060865,6.1004214,7.01355,8.132191,5.171011,6.1477957,10.601161
14,6.0845613,14.182873,9.432398,12.122456,5.5058002,8.776686,9.981781,7.119015,7.878344,12.634942
15,7.679266,9.776382,9.700491,9.171492,12.623773,13.06197,7.0721607,11.760213,13.307598,9.077384
16,6.0410614,3.2775471,4.4192357,2.8804114,6.2910624,4.277727,5.446503,2.9459395,3.7405577,8.24267
17,3.038616,1.3097725,2.3160992,1.177498,1.3893285,1.0546491,1.8559532,1.4592209,1.4633619,1.7165902
18,0.22249724,0.3008328,0.24069633,0.6370499,0.39638388,0.732839,0.4364126,0.18820907,0.70397323,0.58115965
19,0.25494543,0.1795574,0.10278388,0.13987383,0.26855314,0.07905708,0.116536126,0.051085573,0.24866468,0.18248089
20,0.041854914,0.14213476,0.7415078,0.74995905,0.18911368,0.15118006,0.09450932,0.04368377,0.46419987,0.22617942
21,0.31758526,1.3821424,1.0133878,0.65369797,0.90989816,0.9342454,0.74731445,1.1115153,0.44224387,1.5384104
22,2.2078557,1.1522765,1.4325224,1.5206237,3.3462038,2.0586202,3.1954854,1.8406036,3.214433,2.1699638
23,4.3058634,7.359388,9.8691845,6.667266,7.5675,3.4487891,4.3892727,4.17859,4.7850733,7.5262265
24,7.4489374,9.943795,8.098736,6.9645634,11.039018,7.54566,6.762533,8.554773,5.523356,5.6553698
25,8.981999,8.4260845,5.56417,10.027749,5.5104146,8.879374,7.4789524,8.961506,7.0626884,11.144286
26,12.017772,11.74089,11.354986,8.252591,9.82293,11.446426,9.257073,16.761223,9.156605,7.619945
27,9.800492,8.57405,9.323318,9.83489,10.136251,12.669591,12.374338,9.767467,12.989117,4.851022
28,9.403605,7.080657,10.811905,5.0063343,7.0253696,8.801275,6.8121004,8.78486,6.1520433,4.8039255
29,1.0672158,1.1151812,1.5418093,2.0893412,0.5079328,3.0615935,3.3718443,1.8444349,1.635662,2.129981
30,0.3218117,0.46216685,0.17125168,0.06816196,0.07349571,0.3561212,0.19012468,0.37478465,0.34157798,0.053644188
