time,0,1,2,3,4,5,6,7,8,9
0,6.58155,8.208193,6.3151274,6.8979034,8.378979,6.929144,7.570504,6.483536,7.524516,6.6752744
1,6.8496,6.5094776,6.3879523,6.661392,6.80516,6.1350317,6.5818872,6.297788,6.423976,7.7918315
2,5.4952326,5.898797,6.84725,6.8094835,7.0795846,7.1285634,6.7687387,7.9131923,6.6720505,7.6873355
3,7.2616425,6.6974874,7.262665,5.6793003,6.5824256,6.308406,7.931102,6.773145,7.6885214,6.741177
4,4.2210503,2.802492,4.29271,4.5035253,4.8000717,4.620549,6.321413,4.5209765,3.6276534,2.5141568
5,0.76153123,1.3094369,0.3318508,1.6798071,1.7074202,0.7641665,0.7775867,0.48819157,2.6766672,0.7237396
6,0.17616628,0.5397657,0.78026515,0.19666967,0.13003033,0.3801384,0.38849762,0.77335155,0.20433101,0.56814647
7,0.55811244,0.16598937,0.49868086,0.2825546,0.5610168,0.31623065,0.45122236,0.37176925,0.5056743,0.5555271
8,0.3096576,0.6932736,0.38936993,0.38963908,1.0963296,0.5493113,1.4155627,1.6570023,0.35138717,0.9291605
9,0.5540051,1.24418,1.0553727,3.2633314,1.485676,2.3945975,4.8117023,1.7164857,2.3760998,2.9658895
10,3.173904,5.7850385,4.3202014,4.9844823,5.2990017,3.4989543,4.582422,3.2689922,3.5542984,1.4129723
11,8.244165,6.8909655,7.346102,9.207369,5.7468567,7.169984,3.8647947,7.6567698,6.9443746,3.9950464
12,7.344439,7.1347556,7.1590776,6.9460216,7.0101895,6.9333506,8.150598,6.2451816,6.2242327,7.3950596
13,6.440974,6.8650446,6.9241123,6.4572673,7.3112593,6.558152,6.3103137,6.147498,5.701184,6.21544
14,7.44342,5.884624,6.417186,5.9325,6.198901,6.704064,6.446492,7.4394555,6.3707204,5.9214244
15,6.0848966,7.27708,6.838789,6.710494,7.4517646,7.085576,6.6906443,6.669729,6.8546014,6.695023
16,4.058589,4.4291697,8.115583,5.6694403,4.4868135,3.702004,3.354972,3.9250042,4.7911277,5.362853
17,0.45020717,1.4260485,1.3157989,0.7149833,1.399238,1.4747982,1.0012563,2.2475665,1.2155035,0.64938915
18,0.61050904,1.1201444,0.7718278,0.32278207,0.34729975,0.3551572,0.27822128,0.52080595,0.27039048,0.2658694
19,0.28680813,0.48011488,0.5203955,0.43593785,0.3323376,0.5150969,0.19144413,0.40532896,0.52910197,0.15312739
20,0.65067184,1.1458949,0.5417945,1.037988,0.6245324,0.4106991,1.0599419,0.2715502,0.5094427,1.0663688
21,0.43717405,1.5256146,2.4765627,1.8676741,1.882159,1.226433,1.7583147,1.4744593,1.620761,1.4303288
22,2.0706294,3.7183485,3.7435176,1.4480573,3.1245182,3.1979563,4.117846,3.2092466,6.2942853,2.695404
23,8.381619,5.3477926,6.214473,4.1203413,6.489502,5.771204,5.2678094,4.64289,8.2617855,5.136038
24,6.8286085,7.6358795,7.3111115,7.2650766,7.318662,6.6638303,7.0571356,8.175743,9.142081,7.7661557
25,7.5476313,5.492936,5.589698,6.044041,6.6524677,6.7261143,6.337006,5.6601787,6.3902507,5.4224734
26,6.6196523,6.624878,7.2979856,6.547125,6.967346,6.5215664,6.852158,7.575368,6.5124,7.434308
27,6.9926276,6.7924395,6.4762316,7.4907675,6.7387094,6.4076595,6.8658395,6.6479206,6.661174,5.927251
28,4.1210475,3.671824,4.606815,4.047079,4.4709325,3.3029904,2.7428427,4.406792,3.9727137,4.4033594
29,1.0918286,0.4110846,0.8827089,2.9111714,0.41405708,0.9199722,0.5269453,3.5806754,0.9098867,0.5923019
30,0.5781373,0.6981785,0.81728584,0.11702549,0.7198715,0.7315703,0.69830644,0.039943382,0.031504434,0.33651802
31,0.29592335,0.5850726,0.056164984,0.056553785,0.6726705,1.4818565,1.0857656,0.25520402,0.13465108,0.24062732
32,0.37452406,0.2564867,0.9956021,0.6592586,0.7035253,0.78355163,0.61181504,0.2951241,0.2416874,0.14396068
33,1.1820151,2.461016,1.9607866,1.3340542,2.4658263,0.36551353,2.2495768,1.1832248,2.0097022,1.4494547
34,4.4587,3.018886,5.0683823,3.51917,3.3520458,1.9839017,3.1713088,4.2978153,2.8545446,4.083591
35,5.99046,6.3902516,5.8424077,3.2682645,6.273348,8.1094885,5.5292745,5.3482633,7.6356916,4.0844336
36,6.270132,7.621663,7.937382,8.454756,6.9665256,5.183439,6.5652065,7.777276,5.846918,8.403449
