time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.9593325,0.43134433,1.0938509,1.3703185,0.042859282,1.3870926,0.8350761,0.69360095,0.121722296,0.4219069,0.57173544,0.58669144,0.67446554,0.63748544,0.85952246
1,2.6909382,1.4173582,2.0313318,1.1656201,3.4853005,0.63448024,1.5978869,1.0739672,0.84663874,1.9519773,0.69177395,1.5791016,0.94812787,0.9762321,1.6302722
2,3.3643727,3.3085532,3.6142778,1.5022848,2.818451,2.8672023,3.4328268,2.3355381,3.6574988,3.4184377,2.1708174,2.0015123,1.8820754,2.3268008,4.139573
3,4.706031,7.5099254,7.1416297,4.4413075,7.12755,5.8128605,5.2523875,5.47526,7.864067,4.9986186,5.639713,5.529742,4.3849406,5.8824663,6.6803274
4,9.7078905,9.100378,8.687684,8.762213,9.016047,10.971176,9.64964,8.937929,9.1022,8.351931,9.4065,8.007091,9.488321,11.323406,9.895176
5,9.503898,8.300853,7.63671,9.621009,10.214998,9.328439,10.165458,9.179444,10.061442,7.9107065,8.202494,9.791667,8.035977,8.332672,10.060649
6,6.25664,6.0789194,4.076356,4.151982,4.4329324,4.670754,4.864038,3.540476,5.8917694,5.527115,5.1241727,4.5213923,3.826771,5.253586,5.733752
7,1.4845557,0.39709488,0.23470613,1.0828776,0.31881824,0.20044033,0.15335247,0.99802154,1.3510573,0.7977402,0.7908411,2.1087375,0.29443434,0.5118261,0.41222
8,0.021393416,0.0038166447,0.13503224,0.15227056,0.3782215,0.008289183,0.045783613,0.5427112,0.9360987,0.4385376,0.15921317,0.046314366,0.36788133,0.14535716,0.18624426
9,0.2917466,0.046949387,0.18376166,0.4587035,0.32557663,0.17342886,0.2774317,0.22173029,0.11117142,0.09646173,0.025968073,0.20895955,0.026986523,0.29221126,0.6889962
10,0.026287254,0.08723661,0.079373546,0.020868458,0.0013315976,0.07749688,0.056031704,0.12400574,0.15810035,0.11515808,0.08569109,0.20323947,0.26929238,0.11400632,0.1307906
11,0.16823745,0.20814571,0.5261722,0.45709568,0.43670887,0.041224815,0.34979004,0.08039016,0.14662635,0.3279395,0.45275787,0.26619032,0.47799408,0.6193686,0.054648582
12,0.51248634,0.9109305,0.84750295,0.72100216,0.75214535,0.43857893,0.3919888,0.3750179,0.86573154,0.5048655,0.6248494,0.82,0.91177654,0.6396983,0.6641978
13,1.122185,2.9244473,0.6995072,1.6426489,0.80239844,1.9482812,2.9827993,1.8029042,2.3858707,1.3388689,5.0538907,1.1573634,1.111316,1.5086776,1.0114294
14,3.0216556,3.2402716,2.7577844,3.254562,3.366445,2.2648969,3.1804085,3.5074325,3.3157463,5.252742,3.0406098,5.1252446,3.4512277,4.340163,4.184583
15,6.1467614,6.0326514,5.293711,5.3896694,4.8707137,6.1076684,4.649998,7.07005,5.7810745,5.5245442,5.508857,7.2874146,5.1392255,3.9460425,5.2612305
16,10.692295,7.8223467,9.030024,8.817305,9.849549,8.653654,9.632687,9.29603,10.70989,9.134176,8.438897,7.786789,9.666174,9.142188,9.785991
17,8.601081,8.817263,7.314171,8.861293,8.08486,9.441396,8.262594,9.050988,9.017,7.5137224,9.369925,6.7913847,8.841308,9.388154,7.8924685
18,5.295072,6.0172186,5.6742835,4.719601,4.020026,6.7116466,4.819879,5.213434,6.243353,4.283801,6.0705748,3.4593477,2.7112958,5.5047784,4.494689
19,0.9068784,0.475859,0.30172235,0.3948809,0.2857777,0.23545133,0.50107205,0.6128794,2.029862,1.1229079,0.58439577,0.90934443,0.6056132,0.67102593,0.5686506
