,JJA,MJJ,AMJ,MAM,FMA,JFM,DJF,NDJ,OND,SON,ASO,JAS
2001,-0.1,-0.1,-0.3,-0.3,-0.4,-0.5,-0.7,-0.7,-0.7,-0.6,-0.5,-0.5
2002,0.8,0.7,0.4,0.2,0.1,0.0,-0.1,-0.3,-0.3,-0.3,-0.2,-0.1
2003,0.1,-0.2,-0.3,0.0,0.4,0.6,0.9,1.1,1.3,1.2,1.0,0.9
2004,0.5,0.3,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.3,0.3,0.2
2005,-0.1,0.1,0.3,0.4,0.4,0.6,0.6,0.7,0.7,0.7,0.7,0.6
2006,0.1,0.0,-0.1,-0.4,-0.6,-0.8,-0.9,-0.8,-0.6,-0.3,-0.1,-0.1
2007,-0.6,-0.5,-0.4,-0.3,-0.1,0.2,0.7,0.9,0.9,0.8,0.5,0.3
2008,-0.4,-0.6,-0.8,-1.0,-1.3,-1.5,-1.6,-1.6,-1.5,-1.3,-1.1,-0.8
2009,0.5,0.3,0.0,-0.3,-0.6,-0.8,-0.8,-0.7,-0.6,-0.4,-0.2,-0.2
2010,-1.0,-0.7,-0.2,0.4,0.8,1.2,1.5,1.6,1.4,1.0,0.7,0.6
2011,-0.5,-0.4,-0.6,-0.7,-0.9,-1.2,-1.4,-1.6,-1.6,-1.6,-1.6,-1.3
2012,0.2,0.0,-0.3,-0.5,-0.6,-0.7,-0.9,-1.0,-1.1,-1.0,-0.8,-0.6
2013,-0.4,-0.4,-0.4,-0.3,-0.3,-0.4,-0.4,-0.2,0.1,0.3,0.4,0.4
2014,0.0,0.2,0.2,0.0,-0.3,-0.5,-0.4,-0.3,-0.2,-0.2,-0.3,-0.3
2015,1.5,1.2,0.9,0.7,0.5,0.5,0.5,0.7,0.6,0.5,0.2,0.1
2016,-0.4,-0.1,0.4,0.9,1.6,2.1,2.5,2.6,2.6,2.4,2.2,1.9
2017,0.1,0.3,0.3,0.2,0.1,-0.2,-0.3,-0.6,-0.7,-0.7,-0.6,-0.5
2018,0.1,0.0,-0.2,-0.5,-0.7,-0.9,-0.9,-1.0,-0.8,-0.7,-0.4,-0.1
2019,0.3,0.5,0.5,0.7,0.7,0.7,0.7,0.8,0.9,0.8,0.5,0.2
2020,-0.4,-0.3,-0.1,0.2,0.4,0.5,0.5,0.5,0.5,0.3,0.2,0.1
2021,-0.4,-0.4,-0.5,-0.7,-0.8,-0.9,-1.0,-1.2,-1.3,-1.2,-0.9,-0.6
